time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,x_pose,y_pose,z_pose,.pose.orientation.x,.pose.orientation.y,.pose.orientation.z,.pose.orientation.w,c
2023/02/19/19:16:52.155329,2099,1814966,717183073,map,4.908356667,9.989265442,15.0063858,0.008342049,0.026051755,-0.706664444,-0.707019923,70
2023/02/19/19:16:52.187248,2100,1814966,749183073,map,4.924694061,9.98861599,15.00647259,0.00894181,0.026648749,-0.70662317,-0.707031441,70
2023/02/19/19:16:52.219367,2101,1814966,781769804,map,4.940592289,9.987976074,15.00656605,0.009522465,0.026956162,-0.706620008,-0.707015553,70
2023/02/19/19:16:52.259530,2102,1814966,821769804,map,4.959840298,9.987210274,15.00667858,0.009673717,0.027160674,-0.706611184,-0.707014345,70
2023/02/19/19:16:52.291616,2103,1814966,853769804,map,4.974934578,9.986645699,15.00682545,0.010173153,0.0274249,-0.706681005,-0.706927497,70
2023/02/19/19:16:52.323425,2104,1814966,886366520,map,4.989603043,9.986141205,15.00694275,0.010389839,0.02759391,-0.706639392,-0.706959332,70
2023/02/19/19:16:52.363390,2105,1814966,918366520,map,5.003826141,9.985668182,15.00706959,0.01053686,0.027857663,-0.706677531,-0.706908717,70
2023/02/19/19:16:52.395247,2106,1814966,958366520,map,5.021141529,9.985128403,15.00722694,0.010596585,0.028050908,-0.706701242,-0.706876493,70
2023/02/19/19:16:52.427727,2107,1814966,982973715,map,5.031266212,9.984840393,15.00631332,-0.002201385,0.04130353,-0.706759904,-0.706243454,70
2023/02/19/19:16:52.463323,2108,1814967,22973715,map,5.047962189,9.984214783,14.99936104,-0.015808685,0.059873099,-0.70625273,-0.705246407,71
2023/02/19/19:16:52.495444,2109,1814967,54973715,map,5.060961723,9.982961655,14.9893198,-0.042403971,0.119933056,-0.701462313,-0.701262271,71
2023/02/19/19:16:52.527570,2110,1814967,87579281,map,5.073224545,9.980232239,14.97599792,-0.067346059,0.184017745,-0.692136992,-0.694657011,71
2023/02/19/19:16:52.563144,2111,1814967,119579281,map,5.08445406,9.975193024,14.96002483,-0.077040778,0.21310839,-0.686411297,-0.691005875,71
